cu_name,address1,city,state,zipcode,new_name,cu_name
FREEDOM FIRST FEDERAL CREDIT UNION,5240 Valleypark Dr,Roanoke,Virginia,24019,,GOLDENWEST CREDIT UNION
GECU,1225 airway,el paso,Texas,79925,,GOVERNMENT PRINTING OFFICE FEDERAL CREDIT UNION
GENESEE CO-OP FEDERAL CREDIT UNION,395 Gregory St,Rochester,New York,14620,,GREATER KINSTON CREDIT UNION
GOLDENWEST CREDIT UNION,5025 S. Adams,Ogden,Utah,84403,,GREYLOCK FEDERAL CREDIT UNION
GOVERNMENT PRINTING OFFICE FEDERAL CREDIT UNION,po box 77119,washington,District of Columbia,20013,,GTE FEDERAL CREDIT UNION
GREATER KINSTON CREDIT UNION,901 N. Queen St.,Kinston,North Carolina,28501,,GUADALUPE CENTERS FEDERAL CREDIT UNION
GREYLOCK FEDERAL CREDIT UNION,150 West Street,Pittsfield,Massachusetts,1201,,GUADALUPE CREDIT UNION
GTE FEDERAL CREDIT UNION,PO Box 10550,Tampa,Florida,33679,,GUARDIANS CREDIT UNION
GUADALUPE CENTERS FEDERAL CREDIT UNION,1015 Avenida Cesar Chavez,Kansas City,Missouri,64108,,GULF COAST COMMUNITY FCU
GUADALUPE CREDIT UNION,3601 Mimbres Lane,Santa Fe,New Mexico,87507,,HALIFAX COUNTY COMMUNITY FEDERAL CREDIT UNION
GUARDIANS CREDIT UNION,3469 Summit Boulevard,West Palm Beach,Florida,33406,,HARBORSTONE CREDIT UNION
GULF COAST COMMUNITY FCU,12364 Highway 49,Gulfport,Mississippi,39503,,HAWAII CENTRAL FEDERAL CREDIT UNION
HALIFAX COUNTY COMMUNITY FEDERAL CREDIT UNION,1176 Huell Matthews Hwy  PO Box 799,South Boston,Virginia,24592,,HAWAII FEDERAL CREDIT UNION
HARBORSTONE CREDIT UNION,9611 Gravelly Lake Drive SW,Lakewood,Washington,98499,,HAWAII FIRST FCU
HAWAII CENTRAL FEDERAL CREDIT UNION,681 S. King Street,Honolulu,Hawaii,96813,,HEALTH FACILITIES FCU
HAWAII FEDERAL CREDIT UNION,1244 Kaumualii Street,Honolulu,Hawaii,96817,,HILL DISTRICT FEDERAL CREDIT UNION
HAWAII FIRST FCU,67-1187 Mamalahoa Hwy,Kamuela,Hawaii,96743,,HOLY ROSARY CREDIT UNION
