"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
4246,12/31/2017 0:00:00,1887,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4261,12/31/2017 0:00:00,1895,0.00,0.00,0.00,0.00,0.00,0.00,12476829.00,12476829.00,0.00,0.00,0.00,0.00,15618871.00,0.00,15618871.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1187628.00,1187628.00,0.00,384060.00,0.00,384060.00,0.00,0.00,0.00,31313288.00,31313288.00,0.00,2833528.00,0.00,2833528.00,542.00,0.00,0.00,32.00,0.00,0.00,260.00,0.00,0.00,0.00,265.00,0.00,265.00,233.00,0.00,0.00,0.00,277.00,542.00,1601.00,297.00,23.00,5.00,12.00,0.00,0.00,17.00,789.00
4271,12/31/2017 0:00:00,1898,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,10000.00,0.00,0.00,0.00,0.00,1532262.00,0.00,1532262.00,0.00,0.00,0.00,0.00,1307857.00,1307857.00,0.00,0.00,0.00,0.00,0.00,0.00,38986.00,0.00,38986.00,0.00,0.00,0.00,4226276.00,4226276.00,0.00,2645028.00,0.00,2645028.00,12.00,58.00,0.00,0.00,0.00,0.00,2.00,18.00,2.00,33.00,12.00,58.00,63.00,0.00,0.00,7.00,5.00,0.00,70.00,102.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,5698.00
4281,12/31/2017 0:00:00,1900,0.00,0.00,0.00,0.00,0.00,0.00,21064880.00,21064880.00,0.00,912170.00,912170.00,0.00,0.00,0.00,0.00,75000.00,75000.00,0.00,321070.00,0.00,321070.00,0.00,0.00,0.00,3140281.00,3140281.00,0.00,1019816.00,0.00,1019816.00,0.00,0.00,0.00,34041616.00,34041616.00,0.00,11044750.00,0.00,11044750.00,233.00,4.00,6.00,15.00,0.00,0.00,0.00,0.00,180.00,4.00,180.00,4.00,237.00,32.00,0.00,0.00,0.00,0.00,237.00,4242.00,0.00,1132.00,0.00,0.00,0.00,0.00,0.00,669.00
4291,12/31/2017 0:00:00,1904,0.00,0.00,0.00,0.00,0.00,0.00,550201.00,550201.00,0.00,0.00,0.00,0.00,8264113.00,0.00,8264113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11270357.00,11270357.00,0.00,2456043.00,0.00,2456043.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,2.00,3.00,2.00,0.00,0.00,0.00,2.00,5.00,1115.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,972.00
4292,12/31/2017 0:00:00,1905,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393931.00,0.00,393931.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115389.00,0.00,115389.00,509320.00,509320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00
4303,12/31/2017 0:00:00,1906,0.00,0.00,0.00,0.00,0.00,0.00,1066231.00,1066231.00,0.00,0.00,0.00,0.00,1034467.00,0.00,1034467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205032.00,0.00,205032.00,2305730.00,2305730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,166.00
4360,12/31/2017 0:00:00,1930,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4363,12/31/2017 0:00:00,1932,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185040.00,185040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200665.00,0.00,200665.00,0.00,0.00,0.00,385705.00,200665.00,185040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00
4365,12/31/2017 0:00:00,1933,0.00,0.00,0.00,0.00,0.00,0.00,46006424.00,46006424.00,0.00,2267988.00,2267988.00,0.00,53047279.00,0.00,53047279.00,50000.00,50000.00,0.00,31959.00,0.00,31959.00,359974.00,0.00,359974.00,4111367.00,4111367.00,0.00,10349373.00,0.00,10349373.00,4861.00,0.00,4861.00,135202985.00,135202985.00,0.00,23527060.00,0.00,23527060.00,481.00,4.00,7.00,58.00,0.00,0.00,147.00,2.00,36.00,0.00,232.00,4.00,236.00,158.00,0.00,28.00,2.00,249.00,485.00,3305.00,2038.00,0.00,19.00,26.00,0.00,0.00,45.00,4926.00
