CU_NUMBER,SiteId,CU_NAME,addr_new,PhysicalAddressLine1,PhysicalAddressLine2,PhysicalAddressCity,PhysicalAddressStateCode,PhysicalAddressPostalCode,PhysicalAddressCountyName,PhysicalAddressCountry,MailingAddressLine1,MailingAddressLine2,MailingAddressCity,MailingAddressStateCode,MailingAddressStateName,MailingAddressPostalCode
67248,32017,UNITEDONE,"3509 Washington Ave, Sheboygan, WI 53081",3509 Washington Avenue,S. Frontage Road,Sheboygan,WI,53081-6436,Sheboygan,United States,3509 Washington Ave,S. Frontage Road,Sheboygan,WI,Wisconsin,53081-6436
67641,48140,LEHRER INTERESTS,"7836 TX-71, Garwood, TX 77442",PO Box 428,7836 Hwy 71,GARWOOD,TX,77442,Colorado,United States,P.O. BOX 428,NA,GARWOOD,TX,Texas,77442
68187,53070,BAXTER,"505 Shire Pkwy, Social Circle, GA 30025",505 Baxalta Pkwy,NA,Social Circle,GA,30025-4723,Walton,United States,505 Baxalta Pkwy,NA,Social Circle,GA,Georgia,30025-4723
68215,42676,CORPORATE AMERICA FAMILY,"233 N Michigan Ave, Chicago, IL 60601",233 N Michigan Ave,NA,Chicago,IL,60601-5946,Cook,United States,"233 N Michigan Av, Suite C010",NA,Chicago,IL,Illinois,60601
68244,40411,FIRST FINANCIAL,"3347 Bond St, Ramah, NM 87321",14 Miles S Hwy 53,BIA RT 125,PINEHILL,NM,87357,Cibola,United States,PO Box 25587,NA,Albuquerque,NM,New Mexico,87125-0587
68322,24173,CFCU COMMUNITY,"409 N Meadow St, Ithaca, NY 14850",409 N Meadow St,NA,Ithaca,NY,14850-3226,Tompkins,United States,409 North Meadow Street (Route 13),NA,Ithaca,NY,New York,14850-3226
68353,31672,WESTMARK,"3040 Outlet Boulevard, Idaho Falls, ID 83402",3040 Outlet Blvd,NA,Idaho Falls,ID,83402-4769,Bonneville,United States,P.O. Box 2869,NA,Idaho Falls,ID,Idaho,83403
68354,22703,EATON FAMILY,"400 E Lincoln Ave, Searcy, AR 72143",Eaton Hydraulics,400 E Lincoln Ave,Searcy,AR,72143-7408,White,United States,"333 Babbitt Rd, suite 100",NA,Euclid,OH,Ohio,44123
68417,39197,FAIRWINDS,"720 Cagan View Rd, Clermont, FL 34714",742 Cagan View Rd,NA,Clermont,FL,34714-6502,Lake,United States,742 Cagan View Road,NA,Clermont,FL,Florida,34714-6502
68429,51710,TRAVIS,"1650 E Monte Vista Ave, Vacaville, CA 95688",1650 E Monte Vista Ave,NA,Vacaville,CA,95688-3138,Solano,United States,PO Box 2069,NA,Vacaville,CA,California,95688-3106
68491,43082,SILVERADO,"1 Angwin Ave, Angwin, CA 94508",PO Box 330,1 Angwin Plaza,Angwin,CA,94508-0330,Napa,United States,P O Box 330,1 Angwin Plaza,Angwin,CA,California,94508-0330
68494,41534,PACIFIC MARINE,"20250 Vandegrift Blvd, Oceanside, CA 92058","MCX Complex, Building CU - 1105",NA,Camp Pendleton,CA,92055,San Diego,United States,1278 Rocky Point Dr.,NA,Oceanside,CA,California,92056
68505,26649,INTOUCH,"5400 Legacy Dr, Plano, TX 75024",5400 Legacy Dr # H3-GA-19,NA,Plano,TX,75024-3105,Collin,United States,5400 Legacy Dr H3-GA-19,NA,Plano,TX,Texas,75024
68559,26815,TVA COMMUNITY CREDIT UNION,"10835 Shaw Rd, Athens, AL 35611",10835 Shaw Rd # BFT-2C,NA,Athens,AL,35611,Limestone,United States,10835 Shaw Rd # BFT-2C,NA,Athens,AL,Alabama,35611
68581,27749,LGE COMMUNITY,"4101 Roswell Rd, Marietta, GA 30062",PROVIDENCE SQ SHPG CTR,4101 ROSWELL RD,Marietta,GA,30062-6293,Cobb,United States,PROVIDENCE SQ SHPG CTR,4101 ROSWELL RD,Marietta,GA,Georgia,30062-6293
68609,50820,OUR COMMUNITY,"6541 Sexton Dr NW, Olympia, WA 98502",6541 Sexton Dr NW Ste 103,NA,Olympia,WA,98502-9222,Thurston,United States,"6541 Sexton Dr. N..W. Bldg H, Ste 103",NA,Olympia,WA,Washington,98502
68659,40265,AMERICAN EAGLE FINANCIAL,"400 Main St, East Hartford, CT 06108",PWA Engineering Building,400 MAIN ST,EAST HARTFORD,CT,06118-1873,Hartford,United States,PO BOX 280128,NA,EAST HARTFORD,CT,Connecticut,06128-0128
68666,52686,TRANSCEND,"234 E Gray St, Louisville, KY 40202",234 E Gray St Ste 170,NA,Louisville,KY,40202,Jefferson,United States,234 E Gray St Ste 170,NA,Louisville,KY,Kentucky,40202
68670,44668,ROBINS FINANCIAL,"1030 Peach Pkwy, Fort Valley, GA 31030",960 Bluebird Blvd,NA,Fort Valley,GA,31030,Peach,United States,PO Box 6849,NA,Warner Robins,GA,Georgia,31095-6849
86755,49796,FINANCIAL HORIZONS,"895 E St, Hawthorne, NV 89415",PO Box 2288,895 E St.,Hawthorne,NV,89415,Mineral,United States,P.O. Box 2288,NA,Hawthorne,NV,Nevada,89415
97059,41284,EARTHMOVER,"4250 IL-71, Oswego, IL 60543",ECU c/o Oswego High School,4250 State Route 71,Oswego,IL,60543,Kendall,United States,P.O. Box 2937,NA,Aurora,IL,Illinois,60507-2937
